timestamp,raw_heap_metric,raw_gc_metric,raw_mempool_size,normalized_H_t,normalized_G_t,normalized_Q_mem,RPI,current_mode,previous_mode,transition_event,dominant_cause,applied_action,debug_control,accepted_tx_count,rejected_tx_count,rejection_reason_breakdown
2026-09-16T05:18:19.3307190+00:00,3379239504,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3280,15900,"RacePacingRejected, RACE action=reject_survival:15427;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:19.8307780+00:00,3379280368,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3280,15902,"RacePacingRejected, RACE action=reject_survival:15429;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:20.3298235+00:00,3379826344,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3280,15905,"RacePacingRejected, RACE action=reject_survival:15432;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:20.8302259+00:00,3379867376,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3280,15907,"RacePacingRejected, RACE action=reject_survival:15434;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:21.3304481+00:00,3379973984,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3280,15910,"RacePacingRejected, RACE action=reject_survival:15437;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:21.8306835+00:00,3380006624,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3280,15912,"RacePacingRejected, RACE action=reject_survival:15439;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:22.3302565+00:00,3380551072,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3280,15915,"RacePacingRejected, RACE action=reject_survival:15442;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:22.8305589+00:00,3380592168,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3280,15917,"RacePacingRejected, RACE action=reject_survival:15444;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:23.3300636+00:00,3380674408,0.000000,1,1.000000,0.000000,0.000244,0.340081,SURVIVAL,SURVIVAL,NONE,H_t,allow_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3281,15919,"RacePacingRejected, RACE action=reject_survival:15446;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:23.8301307+00:00,3380710912,0.000000,1,1.000000,0.000000,0.000244,0.340081,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3281,15921,"RacePacingRejected, RACE action=reject_survival:15448;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:24.3298931+00:00,3382876184,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3282,15923,"RacePacingRejected, RACE action=reject_survival:15450;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:24.8298355+00:00,3382909080,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3282,15925,"RacePacingRejected, RACE action=reject_survival:15452;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:25.3305071+00:00,3383007256,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3282,15928,"RacePacingRejected, RACE action=reject_survival:15455;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:25.8305917+00:00,3383040152,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3282,15930,"RacePacingRejected, RACE action=reject_survival:15457;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:26.3300361+00:00,3383146808,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3282,15933,"RacePacingRejected, RACE action=reject_survival:15460;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
2026-09-16T05:18:26.8298459+00:00,3383187672,0.000000,0,1.000000,0.000000,0.000000,0.340000,SURVIVAL,SURVIVAL,NONE,H_t,reject_survival,phase=none;hMul=1.000;gMul=1.000;qMul=1.000;qAdd=0.000;rpiOff=0.000,3282,15935,"RacePacingRejected, RACE action=reject_survival:15462;RacePacingRejected, RACE action=reject_pacing:467;ReplacementNotAllowed:6"
